year,award_no,presented_by,category,film,winner,speech
1949,22,Ray Milland,Actress in a Supporting Role,All the King's Men,Mercedes McCambridge,"MERCEDES McCAMBRIDGE:
 I'm aware of those who have contributed to this moment, and thankful for them, but I would like to say to every waiting actor: Hold on! Look what can happen. Thank you very much.
"
1950,23,Helen Hayes,Actor,Cyrano de Bergerac,José Ferrer,"JOSÉ FERRER [in New York]:
 Hello, ladies and gentlemen three thousand miles away. Hello, my dear, beloved Helen Hayes, how wonderful to hear your voice. And I know it's kind of conventional to thank people, but I'm gonna be conventional because I'm sincere. All of you who are connected with this picture – Stanley, Mike, Carl, Frank Planer, George, Mala, Bill Prince, Morris Carnovsky, all of you – you know as well as I do that it's your Oscar as much as it is mine. Also, to you, ladies and gentlemen of the Academy who voted for me, you must know that this means more to me than just the honor accorded to an actor, and from the bottom of my heart I thank you for what I consider a vote of confidence and an act of faith. And believe me, I will not let you down. And one more thing. I think the most important winner of all tonight is the man with the long nose himself who has ridden victoriously through the pages of dramatic literature for over fifty years, and this is just the beginning for Cyrano de Bergerac. Thank you very much.

 HELEN HAYES [in Hollywood]:
 Joe, I'm taking your Oscar and I'm gonna hang on to it for you, and congratulations from us all.
"
1950,23,Mercedes McCambridge,Actor in a Supporting Role,All about Eve,George Sanders,
1950,23,Broderick Crawford,Actress,Born Yesterday,Judy Holliday,"ETHEL BARRYMORE:
 I'm very honored to be asked to accept this award for Judy Holliday for her radiant performance in ""Born Yesterday."" I don't know exactly what she wants me to say but I think it's safe to say that she's very happy and very grateful. Thank you.
"
1950,23,Dean Jagger,Actress in a Supporting Role,Harvey,Josephine Hull,"JOSEPHINE HULL:
 How wonderful of you. Thank you all very much, and Mr. Brackett and all of the Academy. I've heard of these wonderful occasions for years and this is the first time I've been here. I must thank that 6 foot 4½ inch ""Harvey"" [pointing up to a tall nothing standing beside her]. ""Harvey"" has brought happiness for the past seven years all the way from Boston and New York, and here, which is the gateway to the world through Universal International. And they gave us a wonderful director, a wonderful staff, a wonderful cast, and you. Thank you.
"
1951,24,Greer Garson,Actor,The African Queen,Humphrey Bogart,"HUMPHREY BOGART:
 It's a very long way from the heart of the Belgian Congo to the stage of the Pantages Theatre, and I'm very glad to say that it's a little nicer here than it was there. I just want to pay a slight, as a matter of fact a very big tribute to Mr. John Huston and Miss Katharine Hepburn, because they helped me to be where I am now. Thank you very much.
"
1951,24,Claire Trevor,Actor in a Supporting Role,A Streetcar Named Desire,Karl Malden,"KARL MALDEN:
 I haven't much to say because I haven't been here very long, but I can tell you how I feel: great. Thank you.
"
1951,24,Ronald Colman,Actress,A Streetcar Named Desire,Vivien Leigh,"GREER GARSON:
 It's an honor and a thrill to accept this for you, Vivien. I hope you're listening in New York. We're all very excited about it. God bless you and congratulations. I know she would want to thank you if she were here herself.
"
1951,24,George Sanders,Actress in a Supporting Role,A Streetcar Named Desire,Kim Hunter,"BETTE DAVIS:
 I wish I were Kim Hunter tonight. I've been asked to pick up her award for her. I know if she were here tonight she would say: How wonderful, how grateful, and thank you very much. Where is her award? [She is given the Oscar.] I will tell her of your applause.
"
1952,25,Janet Gaynor,Actor,High Noon,Gary Cooper,"JOHN WAYNE:
 Ladies and gentlemen, I'm glad to see that they're giving this to a man who is not only most deserving but has conducted himself throughout his years in our business in a manner that we can all be proud of him. Coop and I have been friends, hunting and fishing, for more years than I like to remember. He's one of the nicest fellows I know. I don't know anybody any nicer. And our kinship goes further than that friendship because we both fell off of horses into pictures together. Now that I'm through being such a good sport, spouted all this good sportsmanship, I'm gonna go back and find my business manager, and agent, and producer, and three-name writer, and find out why I didn't get ""High Noon"" instead of Cooper. Cause I can't fire any of these very expensive fellows, but I can at least run my 1930's Chevrolet into one of their big black new Cadillacs.
"
1952,25,Greer Garson,Actor in a Supporting Role,Viva Zapata!,Anthony Quinn,"KATHERINE DeMILLE:
 I can hardly believe I'm here. I'm sorry that Tony couldn't be here but when I let him know today by telephone I know he'll be a very happy man. Thank you very much.
"
1952,25,Ronald Colman,Actress,"Come Back, Little Sheba",Shirley Booth,"SHIRLEY BOOTH (in New York):
 Thank you. Thank you, everybody. I'm a very happy and a very lucky girl. My luck has many, many names. I won't attempt to list them all. All you have to do is look at the screen credits and you'll know what I mean. I never could have done it alone. You know I couldn't. It's been a long, long climb. I guess this is the peak, but the view has been wonderful all along the way. I want to thank my old friends for their faith, my new friends for their hope, and everyone for their charity. Thank you.
"
1952,25,Edmund Gwenn,Actress in a Supporting Role,The Bad and the Beautiful,Gloria Grahame,"GLORIA GRAHAME:
 Thank you very much.
"
1953,26,Shirley Booth (via live telecast from Philadelphia),Actor,Stalag 17,William Holden,"WILLIAM HOLDEN:
 Thank you. Thank you.
"
1953,26,Mercedes McCambridge,Actor in a Supporting Role,From Here to Eternity,Frank Sinatra,"FRANK SINATRA:
 Umm... That's a clever opening. Ladies and gentlemen, I'm deeply thrilled and very moved, and I really, really don't know what to say because this is a whole new kind of thing. You know, I've... song-and-dance-man type stuff. And I'm terribly pleased, and if I start thanking everybody then I'll do a one-reeler up here so I better not. And I'd just like to say, however, that they're doing a lot of songs here tonight but nobody asked me... [unitelligible]. But I love you, though. Thank you very much. I'm absolutely thrilled. Thank you.
"
1953,26,Gary Cooper (on film),Actress,Roman Holiday,Audrey Hepburn,"AUDREY HEPBURN (in New York):
 It's too much. I want to say thank you to everybody who in these past months and years have helped, guided and given me so much. I'm truly, truly grateful and terribly happy.
"
1953,26,Walter Brennan,Actress in a Supporting Role,From Here to Eternity,Donna Reed,"DONNA REED:
 Thank you. Oh it was a long walk, I didn't think I was going to make it. Well I'm very proud and I'm very grateful, especially to Columbia Pictures. It was a wonderful, wonderful experience, ""From Here to Eternity,"" but I think even more wonderful is from ""Eternity"" to here. Thank you.
"
1954,27,Bette Davis,Actor,On the Waterfront,Marlon Brando,"MARLON BRANDO:
 It's much heavier than I imagined. I... gosh, I had something to say and I can't remember what I was gonna say for the life of me. I don't think that ever in my life have so many people been so directly responsible for my being so very, very glad. It's a wonderful moment and a rare one and I'm certainly indebted. Thank you.
"
1954,27,Donna Reed,Actor in a Supporting Role,The Barefoot Contessa,Edmond O'Brien,"EDMOND O'BRIEN:
 I'm very grateful. It really can't be March 30th. It must be March 17th.
"
1954,27,William Holden,Actress,The Country Girl,Grace Kelly,"GRACE KELLY:
 The thrill of this moment keeps me from saying what I really feel. I can only say thank you with all my heart to all who made this possible for me. Thank you.
"
1954,27,Frank Sinatra,Actress in a Supporting Role,On the Waterfront,Eva Marie Saint,"EVA MARIE SAINT (in New York):
 [Kisses the Oscar.] I may have the baby right here. But I would love to thank Elia Kazan, and Sam Spiegel, Marlon Brando, Karl Malden, Boris Kaufman, all the longshoremen. Thank you.
"
1955,28,Grace Kelly,Actor,Marty,Ernest Borgnine,"ERNEST BORGNINE:
 At the sake of sounding repetitious, I just want to thank my mother for giving me the idea of going in and doing this, getting into this wonderful profession. My pop, for being steadfast. My lovely wife, for helping me. Thank you very, very much. And to the Hecht-Lancaster Organization, I just can't express my thanks. Thank you, one and all.
"
1955,28,Eva Marie Saint,Actor in a Supporting Role,Mister Roberts,Jack Lemmon,"JACK LEMMON:
 Well, since I have been in this end of the entertainment industry I've been very fortunate in working with only the highest of professionals. I would like to thank them for the help and the opportunities they gave me, and I thank you all very much.
"
1955,28,Marlon Brando (on film),Actress,The Rose Tattoo,Anna Magnani,"JERRY LEWIS (host):
 This, of course, is Miss Marisa Pavan. And I know –

 MARISA PAVAN:
 I'm so happy.

 JERRY LEWIS:
 I know you are. I know you are.

 MARISA PAVAN:
 Oh Anna, I wish you could be here. She would be so happy, [unintelligible], so moved. I've prepared a speech – I don't know, I can't remember a word.

 JERRY LEWIS:
 Dean has the same trouble.

 MARISA PAVAN:
 I just want to thank you all and I want to give you a kiss from Anna. [She blows a kiss to the audience].
"
1955,28,Edmond O'Brien,Actress in a Supporting Role,East of Eden,Jo Van Fleet,"JO VAN FLEET:
 I'm so happy. Thank you. There's so many, many people responsible for my being up here tonight. I'd like to thank them all but I must thank Elia Kazan. Thank you, Gadg. Thank you.
"
1956,29,Anna Magnani,Actor,The King and I,Yul Brynner,"YUL BRYNNER:
 I hope this is not a mistake, because I won't give it back for anything in the world. Thank you very much.
"
1956,29,Nancy Kelly (in New York),Actor in a Supporting Role,Lust for Life,Anthony Quinn,"ANTHONY QUINN (in Hollywood):
 Ladies and gentlemen, needless to say I'm deeply moved. At the risk of being misunderstood I want to humbly say to my fellow nominees that acting has never been a matter of competition for me. I want to say that I was only competing with myself, and I thank you very much for letting me win that fight over myself.
"
1956,29,Ernest Borgnine,Actress,Anastasia,Ingrid Bergman,"CARY GRANT:
 Well, it's a privilege to have been asked to be here in case Ingrid won this award, and now that she has, it's a privilege to try to thank her, to thank you for her. But alas, I have no way of knowing the exact depth and degree of her emotion when she finally hears the news that she's received it. So, dear Ingrid, if you can hear me now or if you see this televised film, I want you to know that each of the other nominees and all of the people with whom you worked on ""Anastasia,"" and dear Hitch, and Leo McCarey, and every one of us here tonight and in New York send you our congratulations, our love, our admiration, and every affectionate thought. Thank you for Ingrid.
"
1956,29,Jack Lemmon,Actress in a Supporting Role,Written on the Wind,Dorothy Malone,"DOROTHY MALONE:
 Thank you all so much. I'd like to, I don't know how much time we have, but I'd like to accept this award in the name of my late little brother Bill. And I'd like to thank especially the Academy because I'm sure that this year, the four other girls, such stiff competition, it was a real... I really appreciate it. And I know I haven't got time to thank such loyal friends as Edna Benoit, and my producer Mr. Zugsmith. And Universal and all it's board of directors have been, had such confidence in me, like Mr. Muhl. And I want to thank the Screen Extras Guild and the Screen Actors Guild because we've had a lot of ups and downs together, and you understand all the crews I've worked with. Thank you so much and God love you all.
"
1957,30,Cary Grant,Actor,The Bridge on the River Kwai,Alec Guinness,"JEAN SIMMONS:
 To accept the award for Alec Guinness tonight gives me a particular delight because thirteen years ago I worked with Alec in a picture called ""Great Expectations,"" and we were lucky enough to have the director, David Lean, who directed ""Bridge over the River Kwai."" Since then I've watched him give wonderful, wonderful performances. And so tonight, to Alec Guinness, a truly great artist, many, many congratulations. And on your behalf, Alec, may I thank the Academy. Thank you.
"
1957,30,Lana Turner,Actor in a Supporting Role,Sayonara,Red Buttons,"RED BUTTONS:
 Thank you, ladies and gentlemen. I'm very grateful. I'm very thankful. I'd like to thank Marty Baum, Bill Goetz, Marlon Brando, and most of all Josh Logan for their faith in me. I'm a very happy guy. Thank you very much.
"
1957,30,John Wayne,Actress,The Three Faces of Eve,Joanne Woodward,"JOANNE WOODWARD:
 I can only say I've been daydreaming about this since I was nine years old. I thank you very much. And thanks most of all to Nunnally for having more faith in me than I think anybody could have. Thank you.
"
1957,30,Anthony Quinn,Actress in a Supporting Role,Sayonara,Miyoshi Umeki,"MIYOSHI UMEKI:
 Thank you. I really don't know what to say. I wish somebody were to help me right now, 'cause I didn't expect so I had nothing in my mind. But right now I thank you for everyone who help me, and you, and you, and all American people. Thank you.
"
1958,31,"Irene Dunne, John Wayne",Actor,Separate Tables,David Niven,"DAVID NIVEN:
 I'm so loaded down with good luck charms I could hardly make it up the steps. People have been saying thank you for Oscars for thirty years, and I have nothing to add except thank you.
"
1958,31,"Bette Davis, Anthony Quinn",Actor in a Supporting Role,The Big Country,Burl Ives,"BURL IVES:
 I'd like to thank the members of the Academy. Especially want to thank Willy Wyler, Gregory Peck, and Sy Bartlett and Jim Webb for the nice words they wrote, and all of the rest of the company and the crew of ""The Big Country."" Thank you.
"
1958,31,"Kim Novak, James Cagney",Actress,I Want to Live!,Susan Hayward,"SUSAN HAYWARD:
 Thank you very much, ladies and gentlemen. And thank you, ladies and gentlemen of the Academy, for making me so very, very happy tonight. And my special thanks to Mr. Walter Wanger who made this possible. I thank you.
"
1958,31,"Shelley Winters, Red Buttons",Actress in a Supporting Role,Separate Tables,Wendy Hiller,"HAROLD HECHT:
 It's a great honor to be able to accept this great award for Wendy Hiller, a great actress. Thank you.
"
1959,32,Susan Hayward,Actor,Ben-Hur,Charlton Heston,"CHARLTON HESTON:
 It's really true; when you stand here you'll want to thank everybody you ever knew in this business. I feel like starting with the first secretary or whoever let me sneak into a Broadway casting call. Ten years ago this month I made my first picture in Hollywood and since that time I've worked with a great many of you. And every one of you did something to put me here tonight. As for ""Ben-Hur,"" the men who worked on that, most of you you've been applauding, most of them have been applauded earlier this evening, including Willy. But I would like especially to thank, not only all of you and all of them, but Willy, and Christopher Fry, and Sam Zimbalist, who gave more than any of us. Thank you.
"
1959,32,Olivia de Havilland,Actor in a Supporting Role,Ben-Hur,Hugh Griffith,"WILLIAM WYLER:
 I am extremely happy to accept this highly deserved award for Mr. Hugh Griffith for his wonderfully humorous, human and sympathetic characterization of an Arab sheik. My only regret is that the people of the United Arab Republic will not be permitted to see his performance.
"
