year,award_no,presented_by,category,film,winner,speech
1997,70,Mira Sorvino,Actor in a Supporting Role,Good Will Hunting,Robin Williams,"ROBIN WILLIAMS:
 Thank you. Ah, man! This might be the one time I'm speechless. Thank you so much for this incredible honor. Thank you for putting me in a category with these four extraordinary men. Thank you, Ben and Matt -- I still want to see some ID. Thank you, Gus Van Sant, for being so subtle you're almost subliminal. I want to thank the cast and crew, especially the people of South Boston -- you're a can of corn, you're the best. I want to thank the Meshpucha Weinstein. Mazel tov! And I want to thank Marsha for being the woman who lights my soul on fire every morning. God bless you. And most of all, I want to thank my father, up there, the man who when I said I wanted to be an actor, he said, ""Wonderful, just have a back-up profession like welding."" Thank you. God bless you.
"
1997,70,Geoffrey Rush,Actress in a Leading Role,As Good as It Gets,Helen Hunt,"HELEN HUNT:
 The first time I saw ""Mrs. Brown"" -- saw it three times. The first time I saw it, I leaned over to my beloved and said, ""She's [Judi Dench] going to win an Academy Award."" And in my mind tonight she has. And so has Julie Christie, and so has Helena Bonham Carter, and so has Kate Winslet. And for that matter so has Billy Connolly, and so has Ben Affleck, and so has Joan Allen. And I am honored to work in a year when there were so many magnificent performances.

 I am here for one reason and that's Jim Brooks. One single reason, and that's the only reason really. That's the only reason. I thank -- I am tired of thanking you -- I thank God for giving me a little piece of you. Jack, I worship you, you know it. Greg, I hope you hold in your heart how beautiful your performance in this movie was. I would like to thank our producers Bridget Johnson, Kristi Zea, Larry Mark. Everyone at Sony. The team of experts it took to make me available for this movie. My acting teachers Lurene Tuttle, wherever you are, Gordon Hunt, Larry Moss, Gary Austin, for giving me a way to learn about myself and the world, and a way to express myself. I hate to think who I would be without that. My parents, who are sobbing at this point. My friends, who are at home jumping up and down. And you [Hank Azaria], the very, just the very best man I know. Thank you so much. This is a magnificent honor. Thank you very much.
"
1997,70,"Cuba Gooding, Jr.",Actress in a Supporting Role,L.A. Confidential,Kim Basinger,"KIM BASINGER:
 Oh my God! Thank you! Thank you! Thank you! Wait a minute, we did only get thirty seconds, and to give a thousand thank you's. I just want to thank everybody I have ever met in my entire life. Curtis Hanson, Curtis Hanson, Curtis Hanson. The cast and crew from the movie. I could not have done this without them. Annett Wolf, my great friend Georgia, my sister Ashley, my husband Alec, my baby girl Ireland. If anyone has a dream out there, just know that I am living proof that they do come true. Thank you so much to the Academy. I am so grateful for this. And Daddy, this is for you.
"
1998,71,Helen Hunt,Actor in a Leading Role,Life Is Beautiful,Roberto Benigni,"ROBERTO BENIGNI:
 Thank you! This is a terrible mistake because I used up all my English. I don't know! I am not able to express all my gratitude, because now, my body is in tumult because it is a colossal moment of joy so everything is really in a way that I cannot express. I would like to be Jupiter! And kidnap everybody and lie down in the firmament making love to everybody, because I don't know how to express. It's a question of love. You are really -- this is a mountain of snow, so delicate, the suavity and the kindness, it is something I cannot forget, from the bottom of my heart. And thank you for the Academy Awards for the, who really loved the movie. Thank you to all in Italy, for the Italian cinema, grazie al Italia who made me. I am really, I owe to them all my, if I did something good. So grazie al Italia e grazie al America, land of the lot of things here. Thank you very much. And I hope, really I don't deserve this, but I hope to win some other Oscars! Thank you! Thank you very much! Thank you!
"
1998,71,Kim Basinger,Actor in a Supporting Role,Affliction,James Coburn,"JAMES COBURN:
 My, my, my. Wow. You know, I've been around here -- I've been working and doing this work for like over half my life. And I finally got one right, I guess. See, some of them you do for money, some of them you do for love. This is a love child. Paul Schrader put together -- Paul and Nick actually put together ""Affliction."" I mean, it was a beautiful script. We had an extraordinary cast -- Nick, Sissy Spacek, Willem Dafoe, Mary Beth Hurt -- in a screenplay second to none. I'd like to thank all of those people. Plus Linda Reisman produced it for us. Largo paid for it. Lions Gate released it. I'd like to thank Hilly Elkins, my manager, and Bobby Littman, my agent, my publicists Delson and Weissman. I'd like to say thanks to all the people up in Santa Barbara where I'm working on a thing called ""Atticus."" Thank you, gang, for giving me Monday off. My kids, I say thanks to my kids... [music begins] Wait a minute! Wait a minute! I've got to say something else here! This, for my beautiful wife Paula. She finally got to come to the Academy Awards. This is for you, baby!
"
1998,71,Jack Nicholson,Actress in a Leading Role,Shakespeare in Love,Gwyneth Paltrow,"GWYNETH PALTROW:
 I would like to thank the Academy from the bottom of my heart. I would like to thank Emily Watson, and Fernanda Montenegro, and my friend Cate Blanchett, and the greatest one who ever was, Meryl Streep. I don't feel very deserving of this in your presence.

 But I would like to thank Harvey Weinstein and everybody at Miramax Films for their undying support of me. I would like to -- I wouldn't be in this auditorium, let alone up here, if it wasn't for two incredibly talented men. Our director John Madden, thank you so much for all that you gave me. You are so inspiring. And to my soulful partner, Joseph Fiennes, who I share this with. I wouldn't be here without him. I would like to thank the rest of our miraculous cast and crew. Our producers Donna Gigliotti and David Parfitt -- I didn't forget you this time! Especially Jim Magill and Sophie Shand and my friend Ben Affleck. I would like to thank my wonderful agent Rick Kurtzman who is a beautiful man and a wonderful agent and in his case that is not an oxymoron. I would like to thank Harold Brown, Stuart Gelwarg*, and Stephen Huvane.

 I would not have been able to play this role had I not understood love of a tremendous magnitude, and for that I thank my family. My mother Blythe Danner, who I love more than anything, and my brother Jake Paltrow, who is just the dearest person in the whole world. My earthly guardian angel, Mary Wigmore*. And especially to my father Bruce Paltrow, who has surmounted insurmountable obstacles this year. I love you more than anything in the world. And to my grandpa Buster, who almost made it here tonight, but couldn't quite get here. Grandpa, I want you to know that you have created a beautiful family who loves you and loves each other more than anything, and we thank you for that.

 I would like to dedicate this to two young men who lost their lives very early. Harrison Kravis and my cousin Keith Paltrow. We miss you very much. And I thank you. Thank you so much, everybody!
"
1998,71,Robin Williams,Actress in a Supporting Role,Shakespeare in Love,Judi Dench,"JUDI DENCH:
 I feel for eight minutes on the screen I should only get a little bit of him. I do thank the Academy very much indeed. I do think also that the best bit about the Academy Awards is being nominated. You live in a kind of haze for several weeks, and the terrible thing is that somebody's got to win. My heart goes out to all the other four who didn't. And also, my admiration.

 I do have to thank John Madden and Tom Stoppard and Marc Norman, as I actually wrote to John Madden after ""Mrs. Brown"" and said, I will do anything in your next film. If you want somebody to slouch in a doorway, you can count on me. And I mean it, and I hope he bears me in mind next time. I do thank you all very much indeed. I am very moved by it. Thank you.
"
1999,72,Gwyneth Paltrow,Actor in a Leading Role,American Beauty,Kevin Spacey,"KEVIN SPACEY:
 This is the highlight of my day. I hope it is not all downhill from here. I first have to say that I would like to dedicate this to the man who inspired my performance. A man who has been my friend and my mentor, and since my father died, a little bit like my father, whose performance in ""The Apartment"" stands as one of the finest we've ever had. Jack Lemmon, wherever you are, thank you, thank you, thank you.

 To my friends, for pointing out my worst qualities. I know you do it because you love me. And that's why I loved playing ""Lester,"" because we got to see all of his worst qualities and we still grew to love him. This movie to me is all about how any single act from any single person put out of context is damnable. But the joy of this movie is that it is real beauty. We found real beauty in this extraordinary script by Sam Mendes -- by Alan Ball. It feels like he wrote it though, doesn't it?

 I am very proud to be an actor, and I have tried very hard to protect my work; and I am stunned and a bit speechless. And Dianne, thank you for teaching me about caring about the right things, and I love you. And Mother, I don't care what they say about bringing you to award shows. I will always bring you to award shows because I'm proud of you and I love you. And thank you, thank you, thank you.
"
1999,72,Judi Dench,Actor in a Supporting Role,The Cider House Rules,Michael Caine,"MICHAEL CAINE:
 Thank you, thank you. I was looking [gesturing to the monitor], watching all the others, and thinking back when I saw the performances and I was thinking of how the Academy changed ""The winner is..."" to ""The Oscar goes to..."". And if ever there was a category where the Oscar goes to someone without there being a winner, it's this one. Because I do not feel like being the winner. You have Michael, who I'd never heard of quite frankly, who is astonishing. You have Jude, who is going to be a big star no matter what happens. You have Tom, who if you had won this your pot price would have gone down so fast. Have you any idea what supporting actors get paid? And we only get one motorhome, a small one. And Haley Osment, what an astonishing... where is he? There he is. Haley, when I saw you I thought, well that's me out of it. So really, I'm basically up here, guys, to represent you as what I hope you will all be, a survivor.

 I want to -- I've got to hurry up or they... Dick [Zanuck], I wasn't here last time, so give me a bit with my speech, the last time I won, so give me a bit extra time, okay? I want to thank Harvey and Bob Weinstein and Meryl Poster at Miramax. Lasse Hallström, an extraordinary director, and Richard Gladstein. The wonderful actors I worked with: Tobey Maguire, Charlize Theron, Jane Alexander, Kathy Baker -- all people who inhabit rather than act. And the wonderful children that I acted with there. And last of all, I want to thank my two daughters, Dominique and Natasha, and my wife. Thank you.
"
1999,72,Roberto Benigni,Actress in a Leading Role,Boys Don't Cry,Hilary Swank,"HILARY SWANK:
 Thank you, thank you so much. We have come a long way. To think that this movie wouldn't have been made three-and-a-half years ago, and we made it now for under two million dollars. And now this. It's quite remarkable. I want to thank the Academy for their support and recognition of me and my work in a movie that is so important, and I am so proud to be a part of it.

 This movie would have never been made -- I had, just on the off chance that I got up here, I brought this piece of paper because I knew I couldn't forget anyone, because everyone put their heart and soul into this movie and God knows no one got paid. So first, Kimberly Peirce, for her fierce tenacity and vision. Andy Bienen, our co-writer. Killer Films, you guys always make important movies and I thank you for that. John Hart, Jeff Sharp, for being there for me every single minute. Jim Denault, our cinematographer, who was absolutely brilliant. Kerry Barden, Jennifer McNamara, for fighting for me, the casting directors. Chloë Sevigny, the rest of the cast, who portrayed their characters so honestly and brilliantly. Lee Percy, our editor.

 I want to thank Michael Stremel, Lindsay Law and Bill Mechanic and everyone at Fox Searchlight for putting their wing around this small, little movie and giving us wings. Larry Moss, my acting coach, who, without him, I could have never given this performance. Thank you, Larry. My mom, who's up there somewhere [in the balcony]. It looks like living out of our car was worth it. Holly Hein, for keeping my head on straight. My publicist Troy Nankin, who is a beautiful, beautiful human being. Kami Putnam, I have to thank you for fighting for me. I'm almost done, I promise. The Independent Film Channel, for helping us finish our movie. And Hylda Queally and David Wirtschafter, for their support.

 And last, but certainly not least, I want to thank Brandon Teena for being such an inspiration to us all. His legacy lives on through our movie to remind us to always be ourselves, to follow our hearts, to not conform. I pray for the day when we not only accept our differences, but we actually celebrate our diversity. Thank you very much.
"
1999,72,James Coburn,Actress in a Supporting Role,"Girl, Interrupted",Angelina Jolie,"ANGELINA JOLIE:
 God, I'm surprised nobody has ever fainted up here. I'm, I'm in shock and I'm so in love with my brother right now. He just held me and said he loved me and I know he's so happy for me. And thank you for that. And thank you to Columbia. Winona, you're amazing and thank you for supporting all of us through this. And all the girls in this film are amazing, and Whoopi, everybody, and my family for loving me. Janeen Schreyer and your sister Michelle -- Michelle, we love you. Geyer Kosinski. My mom, who is the most brave, beautiful woman I've ever known. And my dad, you're a great actor but you're a better father. And Jamie, this is, you're just, I have nothing without you. You are the strongest, most amazing man I've ever known and I love you. And thank you so much.
"
2000,73,Hilary Swank,Actor in a Leading Role,Gladiator,Russell Crowe,"RUSSELL CROWE:
 Whew! My grandfather's name was Stan Wemyss. He was a cinematographer in the second World War. My uncle David, David William Crowe, he died last year at the age of sixty-six. I'd like to thank the Academy for something which is pretty surprising and dedicate it to two men who still continue to inspire me. I'd also like to thank my mum and dad, who I just don't thank enough, I suppose.

 And an incredible cast: Joaquin Phoenix, Connie Nielsen, Djimon Hounsou, Ralf Moeller, Spencer Treat Clark, the magnificent Richard Harris, the late Oliver Reed, Tomas Arana, Tommy Flanagan, Derek Jacobi and everybody else. DreamWorks, a great company and a vital and andrenalized contributor to the art form. To Doug Wick, David Franzoni, Bruno Lustig and Terry Needham, and a very brave crew collected from twenty-two different countries around the world. To the people that work for me, who work with me, my personal cavalry: George Freeman, Alan Hergott, Larry Witzer, Shirley Pearce, Robin Baum, Mark Dumbrell. But really folks, you know, I owe this to one bloke and his name is Ridley Scott. You know, when you grow up in the suburbs of Sydney or Auckland, or Newcastle like Ridley or Jamie Bell, or the suburbs of anywhere, you know, a dream like this seems kind of vaguely ludicrous and completely unattainable. But this moment is directly connected to those childhood imagining[s]. And for anybody who's on the down side of advantage and relying purely on courage, it's possible. Thanks very much.
"
2000,73,Angelina Jolie,Actor in a Supporting Role,Traffic,Benicio Del Toro,"BENICIO DEL TORO:
 Thank you. Thank you. I'd like to thank the members of the Academy. I'd also like to thank Steven Soderbergh, Laura Bickford, Ed Zwick, Marshall, Rick and Ileen, everyone at USA Films. And I'd also like to dedicate this to two locations where we shot this film. We went from Washington, D.C. all the way to San Diego, California. I'd like to dedicate this to the people of Nogales, Arizona, and Nogales, Mexico. Thank you.
"
2000,73,Kevin Spacey,Actress in a Leading Role,Erin Brockovich,Julia Roberts,"JULIA ROBERTS:
 Oh, thank you, thank you ever so much. I'm so happy. Thank you. I have a television, so I'm going to spend some time here to tell you some things. And sir [speaking to music conductor Bill Conti], you're doing a great job, but you're so quick with that stick. So why don't you sit, 'cause I may never be here again.

 I would like to start with telling you all how amazing the experience of feeling the sisterhood of being included in a group with Joan Allen and Juliette Binoche and Laura Linney and Ellen Burstyn for these last weeks has been. It's just felt like such a triumph to me to be in that list. My name starts with ""R"" so I'm always last, but I still love the list. But I can't believe this, this is so [looking at the Oscar]... this is quite pretty.

 I want to acknowledge so many people that made ""Erin Brockovich,"" ""Erin Brockovich"" -- but let me make my dress pretty [adjusts the train of her dress]. Universal, everybody at Universal, Kevin Misher and Stacey Snider and Stacey Sher -- and I can't believe I'm remembering everybody's name. Jersey Films, Danny DeVito, and everybody over there. Everyone I've ever met in my life. This movie was sinfully fun to make, and Albert Finney is my friend and my pleasure to act with. And Aaron Eckhart and Scotty and Gemmenne and Brittany and Ashley, all the wonderful actors that played my children. And Marg Helgenberger -- and turn that clock off, it's making me nervous. Greg Jacobs, everybody on our crew that was so great. And, well, just a few other people... But really, the main person -- well, Richard LaGravenese and Susannah Grant who wrote such a nice script.

 Steven Soderbergh -- hi, there you are -- you truly just made me want to be the best actor that I suppose I never knew I could be, or aspire to. And I made every attempt -- Stick-man, I see you. So I thank you for really making me feel so... [laughs!] I love it up here! Yeah, anyway, I start working for him again in two days, so I can get to you later. But Benjamin Bratt, my sister Lisa, my brother-in-law Tony. Elaine Goldsmith-Thomas, who's been my agent since God was a boy. Jeff Berg. My mom! And just Frances* and Marcus and Mike and everybody who's watching at home. Kelly, Emma, everybody. I love the world! I'm so happy! Thank you!
"
2000,73,Nicolas Cage,Actress in a Supporting Role,Pollock,Marcia Gay Harden,"MARCIA GAY HARDEN:
 Thank you. What a thrill. Members of the Academy, thank you. Thank you for taking the time to even view the tape and consider our film. Ed Harris, thank you for inviting me to share your passion. You are a brave director and an even braver actor and I love you. Dad, who's here tonight, thank you for teaching me how to soldier through tough situations, and Mom, for teaching me how to do it gracefully. To Fred Berner, Peter Brant and Joe Allen, thank you for rearing this film and for ushering it into the world. Sony Pictures Classics and especially Michael Barker. To my family and my agents and Maryellen Mulcahy, without whom I would never be here. My lawyer. My husband Thaddaeus Scheel. All the people who help you in this crazy business, I want to thank you. And for the inception of the film, James Trezza and Barbara Turner. Thank you.
"
2001,74,Julia Roberts,Actor in a Leading Role,Training Day,Denzel Washington,"DENZEL WASHINGTON:
 Two birds in one night, huh? Oh, God is good. God is great. God is great. From the bottom of my heart, I thank you all. Forty years I've been chasing Sidney [Poitier], they finally give it to me, what'd they do? They give it to him the same night. I'll always be chasing you, Sidney. I'll always be following in your footsteps. There's nothing I would rather do, sir. Nothing I would rather do. God bless you. God bless you.

 I want to thank the Academy. You know, when I was in college first starting out as an actor, they asked each one of us what we wanted to do. I said I want to be the best actor in the world. All the students in the classroom looked at me like I was a nut. Life has taught me to just try and be the best that I can be, and I thank the Academy for saying to me that on this given night I was the best that I could be. I want to thank Warner Bros. and Alan Horn and Lorenzo di Bonaventura for supporting this film. And Antoine Fuqua, a brilliant young filmmaker, African-American filmmaker. I don't know where you are, Antoine, love you. Ethan Hawke, my partner in crime. So many people, I can't even remember everybody, lawyers, doctors, agents... My beautiful agent, Ed Limato. We've been together for so many years. Hometown boy from Mount Vernon. My beautiful wife. I love you so much. You put up with me, in spite of myself. And my beautiful children at home. I told you if I lost tonight I would come home and we'd celebrate and if I won tonight I would come home and we'd celebrate. Well, I'm coming home, we're celebrating. God bless you all.
"
2001,74,Marcia Gay Harden,Actor in a Supporting Role,Iris,Jim Broadbent,"JIM BROADBENT:
 Stone the crows. I'd like to thank the Academy for this wonderful honor. Making ""Iris"" was the most joyful, wonderful experience and for that, much thanks to Intermedia, to BBC Films and to Miramax for getting behind it and putting it out. And above all to Richard Eyre, for writing a wonderful script with Charles Wood, for directing with skill, intelligence, humor and great talent, and for putting together a wonderful cast for us to work with, with Hugh Bonneville as the younger me and Kate Winslet and the special Judi Dench who I had a lot to do with. I'd like to thank John Bayley who allowed us to plunder and I'm sure misrepresent his life with Iris. And above all, I'd like to thank my wife Anastasia for coming with me on this long and rather unpredictable journey. And good luck ""Moulin Rouge.""
"
2001,74,Russell Crowe,Actress in a Leading Role,Monster's Ball,Halle Berry,"HALLE BERRY:
 Oh my God. Oh my God. I'm sorry. This moment is so much bigger than me. This moment is for Dorothy Dandridge, Lena Horne, Diahann Carroll. It's for the women that stand beside me, Jada Pinkett, Angela Bassett, Vivica Fox. And it's for every nameless, faceless woman of color that now has a chance because this door tonight has been opened. Thank you. I'm so honored. I'm so honored. And I thank the Academy for choosing me to be the vessel for which His blessing might flow.

 I want to thank my manager, Vincent Cirrincione. He's been with me for twelve long years and you fought every fight, and you loved me when I've been up but more importantly you've loved me when I've been down. You have been a manager, a friend and the only father I've ever known. Really. And I love you very much. I want to thank my mom who has given me the strength to fight every single day to be who I want to be and to give me the courage to dream, that this dream might be happening and possible for me. I love you, Mom, so much. Thank you, my husband, who is just a joy of my life. And India, thank you for giving me peace because only with the peace that you've brought me have I been allowed to go to places that I never even knew I could go. Thank you. I love you and India with all my heart.

 I want to thank Lions Gate. Thank you, Mike Paseornek, Tom Ortenberg, for making sure everybody knew about this little tiny movie. Thank you for believing in me. Our director Marc Forster, you're a genius. You're a genius. This moviemaking experience was magical for me because of you. You believed in me, you trusted me and you gently guided me to very scary places. I thank you. I want to thank Ivana Chubbuck, I could have never figured out who the heck this lady was without you. I love you. Thank you. I want to thank Lee Daniels, our producer. Thank you for giving me this chance, for believing that I could do it. And now tonight I have this. Thank you.

 I want to thank my agents. CAA, Josh Lieberman especially. I have to thank my agents. Kevin Huvane, thank you. Thank you for never kicking me out and sending me somewhere else. Thank you. Um... I, I, I, who else? I have so many people that I know I need to thank. My lawyers! Neil Meyer, thank you. Okay, wait a minute. I got to take... seventy-four years here! I got to take this time! I got to thank my lawyer Neil Meyer for making this deal. Doug Stone. I need to thank lastly and not leastly, I have to thank Spike Lee for putting me in my very first film and believing in me. Oprah Winfrey, for being the best role model any girl can have. Joel Silver, thank you. And thank you to Warren Beatty. Thank you so much for being my mentors and believing in me. Thank you! Thank you! Thank you!
"
2001,74,Benicio Del Toro,Actress in a Supporting Role,A Beautiful Mind,Jennifer Connelly,"JENNIFER CONNELLY:
 Hello. Okay, I brought paper because I didn't want to forget.

 Thank you to the members of the Academy for this honor. By some beautiful twist of fate I've landed in this vocation that demands that I feel and helps me to learn. I know film has moved or taught me more than a beautiful mind. Thank you to all of our magnificent cast and crew for their invaluable collaboration and most especially to Ron Howard and to Russell Crowe. Thanks to all the artists who have inspired me and the list is too long.

 Thanks to my dearest ones who give me love and support, Risa Shapiro, Carrie Ross*, my family and friends. I believe in love, that there is nothing more important. Alicia Nash is a true champion of love, and so thank you to her for her example. My son Kai is for me the greatest messenger, and so thank you to him for all of our days. Thank you very much.
"
2002,75,Halle Berry,Actor in a Leading Role,The Pianist,Adrien Brody,"ADRIEN BRODY:
 [Kisses presenter Halle Berry] I bet they didn't tell you that was in the gift bag.

 Oh my God. Thank you. Thank you, really. Oh my goodness. It doesn't come out in slow motion, but it doesn't really ring a bell--the name. I didn't know my name when you said that. This Adrien? Okay.

 I haven't really written a speech because every time I wrote a speech for the past one of these things I didn't win. But, you know, there comes a time in life when everything seems to make sense and this is not one of those times. What I do know, though, is that I've never felt this much love and encouragement from my peers and from people I admire and from complete strangers. And it means a great deal to me. And if it weren't for the insomnia and those sudden panic attacks, this has been an amazing, amazing journey.

 I have to thank--they're already flashing time's up--I have to thank my mother and father, most importantly, for all the creativity and the encouragement. And they've been just... real strength. They've given me a great deal of strength.

 What can I say? This film would not be possible without the blueprint provided by Wladyslaw Szpilman. And this is a tribute to his survival. I'd like to thank Roman Polanski for the role of a lifetime. And for those of you who have seen the film and sat through the credits, you know there are just too many people to thank individually. I would not be here without all their efforts. And I thank them. And everyone worked extremely hard to make this film. And I have to thank Focus Features for getting us out there. To my longtime friend, manager, agent, consigliere, Joanne Colonna. Everybody at The Firm, PMK/HBH. And you know...[music plays]. Wait one second. One second, please, one second. Cut it out, cut it out. I get one shot at this. I'm sorry. I didn't say more than five names I don't think, but...

 This is, you know, it fills me with great joy, but I am also filled with a lot of sadness tonight because I'm accepting an award at such a strange time. And, you know, my experiences in making this film made me very aware of the sadness and the dehumanization of people at times of war, and the repercussions of war. And whomever you believe in, if it's God or Allah, may He watch over you. And let's pray for a peaceful and swift resolution. Thank you. And I have a friend from Queens who's a soldier in Kuwait right now, Tommy Zarabinski. And I hope you and your boys make it back real soon. God bless you, guys. I love you. Thank you very much.
"
2002,75,Jennifer Connelly,Actor in a Supporting Role,Adaptation,Chris Cooper,"CHRIS COOPER:
 Take this in for one second...

 From the Academy to the womb that bore me, thank you. To all the nominees, it's a pleasure to be thought in your same company. To all the people in ""Adaptation"" who helped to make this the most enjoyable job I ever had, thank you. Charlie Kaufman, Spike Jonze, Nicolas Cage. The fabulous, beautiful, wonderful Meryl Streep. Working with this woman was like making great jazz. You had a lot to do with this, so I thank you.

 To my wife, Marianne, you took on all the burden, thank you. And in light of all the troubles in this world, I wish us all peace. Thank you.
"
2002,75,Denzel Washington,Actress in a Leading Role,The Hours,Nicole Kidman,"NICOLE KIDMAN:
 Thank you so much. Yes, now I have to think. David Hare, I need your words. I have such appreciation and gratitude for this. Russell Crowe said don't cry if you get up there, and now I'm crying. Sorry.

 Stephen Daldry, you took a huge chance on me. I am so grateful. David Hare, you gave me magnificent words to say. Scott Rudin, you fought so hard for this film, to get it made. Paramount and Miramax, you made it. And Kevin Huvane, Rick Nicita, Marc Epstein stood by me for so many years. And I am just absolutely thrilled to be standing up here tonight.

 I do have to say it was, why do you come to the Academy Awards when the world is in such turmoil? Because art is important. And because you believe in what you do and you want to honor that. And it is a tradition that needs to be upheld. At the same time you say there is a lot of problems in the world. And since 9/11 there's been a lot of pain, in terms of families losing people, and now with the war, families losing people. And God bless them. And I am standing here in front of my mother and my daughter and my whole life I've wanted to make my mother proud. And now I want to make my daughter proud. So thank you.
"
2002,75,Sean Connery,Actress in a Supporting Role,Chicago,Catherine Zeta-Jones,"CATHERINE ZETA-JONES:
 Thank you so much. My Scotsman giving the Welsh girl... I can't believe it. Oh my gosh. This is too--I mean, my hormones are just too way out of control to be dealing with this.

 Thank you so much, the Academy. To be nominated with such amazing women in an amazing year for women, thank you very much. Everyone involved in ""Chicago."" There's so many people. Rob Marshall, Harvey Weinstein, Craig, Neil, everybody, and all the cast and crew.

 Everybody in Swansea, South Wales, I love you. And to my son Dylan, who is going to be watching at home, and to my husband, who I love and I share this award with you, along with this one, too, thank you so much.
"
2003,76,Nicole Kidman,Actor in a Leading Role,Mystic River,Sean Penn,"SEAN PENN:
 Thank you. If there's one thing that actors know--other than that there weren't any WMDs--it's that there is no such thing as ""best"" in acting. And that's proven by these great actors that I was nominated with, as well as the Giamattis, Cages, Downey Jrs., Nicholsons, etc., that were not nominated. We know how great all of you were. My daughter Dylan and son Hopper find it presumptuous and embarrassing to write a speech, and so I'm gonna give it a go without. God, I really thank Clint Eastwood professionally and humanly for coming into my life. The great, great cast that I had to work with, my friends. Where do you go? Dennis Lehane, Brian Helgeland. Ma. Dad. Robin, for being an undying emotional inspiration on this roller coaster I'm learning to enjoy. Thank you all very much.
"
2003,76,Catherine Zeta-Jones,Actor in a Supporting Role,Mystic River,Tim Robbins,"TIM ROBBINS:
 Oh boy! Wow. Thank you so much, members of the Academy. This is really a lovely, lovely honor. I'd like to thank my fellow nominees, who are all spectacular, and I want to work with all of you in a movie at some point. Dennis Lehane, Brian Helgeland for the writing of this amazing script. Clint Eastwood, you're so great. You're such an amazing director. And you're making my mantel very crowded. Thank you. It's due to you, sir. My fellow cast members: Sean Penn, Kevin Bacon, Marcia Gay Harden, Laura Linney, Laurence Fishburne. The crew was fantastic. Toni Howard, Lisa Kasteler, Alan Horn, Bruce Berman, Jeff Robinov, and from Warner Bros. Joe Hyams. Judie Hoyt, Rob Lorenz. My mom and dad. Dave, Adele, Gabi, Terry--hang in there. You can kick it. Geiss family, your dad's smiling down on you. Susan, I love you so much. Eva, Jack, Miles, thanks for being there for me. Susan, thanks for being the best friend one could have. The Actors' Gang in ""Embedded"" in New York, thank you so much for putting up with me being here.

 And I would like to say one more thing. In this movie I play a victim of abuse and violence, and if you are out there and are a person that has had that tragedy befall you, there is no shame and no weakness in seeking help and counseling. It is sometimes the strongest thing that you can do to stop the cycle of violence. Thank you.
"
2003,76,Adrien Brody,Actress in a Leading Role,Monster,Charlize Theron,"CHARLIZE THERON:
 This has been such an incredible year. I can't believe this. I don't have a lot of time. I have to thank my incredible director Patty Jenkins. Thank you, thank you, thank you. All of our producers, Brad, Clark, Meagan, Mark, Donald, Sammy Lee, everybody at Media 8, Bob and everybody at Newmarket, thank you so much for working so hard on this film. My incredible, incredible leading lady Christina Ricci, who I couldn't have done this film without. You are truly the unsung hero of this film. I have to thank our entire crew, Toni G for transforming me so incredibly, every single person who worked on this film. I couldn't have done it without you guys. My incredible manager J.J. Harris, who has represented me for so long now. And you've always believed in me. I can't thank you enough. My friend Steve Warren, my lawyer, thank you so much. Yes, I know. He's my friend. Heidi Schaeffer and Amanda Silverman from PMK. My guardian angel Beth Kono. My producing partner Meagan Riley-Grant. And if I'm forgetting anybody, please, don't kill me. And I know everybody in New Zealand has been thanked so I'm going to thank everybody in South Africa, my home country. They're all watching tonight and I'm bringing this home next week. And I have to thank my incredible partner in crime. You're one hell of a partner to have. Thank you so much for standing by me. And my mom. You've sacrificed so much for me to be able to live here and make my dreams come true and there are no words to describe how much I love you. And I'm not gonna cry. Thank you! Thank you! Thank you!
"
2003,76,Chris Cooper,Actress in a Supporting Role,Cold Mountain,Renée Zellweger,"RENÉE ZELLWEGER:
 I am overwhelmed. I am overwhelmed. Thank you. I would like to thank the Academy for inviting me here tonight alongside so many talented people: Holly, Patricia, Marcia and Shohreh. I am honored, honored to be here with you.

 I'm standing here because of so many people, and I would like to thank them now if I could. Charles Frazier, thank you for your masterpiece and the gift of ""Ruby."" I have to thank the producers, cast and crew of ""Cold Mountain."" I'll never forget it, never, because of you. Especially Jude and Nicole. Such a privilege to go to work every day with you. Such a privilege, my friends, thank you. Anthony Minghella, you are brilliant and I care so much for you. Thank you for all that you taught me, for making me be better and for your friendship. My friends at Miramax, for making this film, especially Harvey and Meryl Poster. Quite a gamble. Thank you for doing it.

 My fellows at CAA, Brandt and Bryan and Kevin, and Jenny Rawlings who takes such good care of me. Actors Clearinghouse for the good start. Sims Ellison. Vincent D'Onofrio, for teaching me how to work. Tom Cruise, for showing me that, very early on, kindness and success are not mutually exclusive. And finally and most importantly in my life, my glorious family, my immigrant mom and dad. Thank you for never saying ""don't try."" My brother, who I love so much, and his new wife, who clapped the loudest and laughed the loudest. I love you so much. Nanci Ryder, who's always there. And my beloved John Carrabino. Thank you for sharing this journey with me, every day of it. Without you there would be none of this. Thank you for dreaming so much bigger than I would ever dare to dream and for making me believe. I love you. This is for you. Thank you.
"
